rowid,SPCD,COUNTYCD,COUNT,FIA Code,Common Name,Genus,Species,name
1,12.0,001,3958,12,balsam fir,Abies,balsamea,Aitkin
2,12.0,003,1,12,balsam fir,Abies,balsamea,Anoka
3,12.0,005,1218,12,balsam fir,Abies,balsamea,Becker
4,12.0,007,5571,12,balsam fir,Abies,balsamea,Beltrami
5,12.0,017,3414,12,balsam fir,Abies,balsamea,Carlton
6,12.0,021,3631,12,balsam fir,Abies,balsamea,Cass
7,12.0,029,1526,12,balsam fir,Abies,balsamea,Clearwater
8,12.0,031,15579,12,balsam fir,Abies,balsamea,Cook
9,12.0,035,742,12,balsam fir,Abies,balsamea,Crow Wing
10,12.0,057,1325,12,balsam fir,Abies,balsamea,Hubbard
11,12.0,061,17087,12,balsam fir,Abies,balsamea,Itasca
12,12.0,065,43,12,balsam fir,Abies,balsamea,Kanabec
13,12.0,071,22408,12,balsam fir,Abies,balsamea,Koochiching
14,12.0,075,19671,12,balsam fir,Abies,balsamea,Lake
15,12.0,077,4010,12,balsam fir,Abies,balsamea,Lake of the Woods
16,12.0,087,140,12,balsam fir,Abies,balsamea,Mahnomen
17,12.0,089,260,12,balsam fir,Abies,balsamea,Marshall
18,12.0,095,10,12,balsam fir,Abies,balsamea,Mille Lacs
19,12.0,097,2,12,balsam fir,Abies,balsamea,Morrison
20,12.0,111,38,12,balsam fir,Abies,balsamea,Otter Tail
21,12.0,115,1185,12,balsam fir,Abies,balsamea,Pine
22,12.0,119,11,12,balsam fir,Abies,balsamea,Polk
23,12.0,135,993,12,balsam fir,Abies,balsamea,Roseau
24,12.0,137,44006,12,balsam fir,Abies,balsamea,Saint Louis
25,12.0,153,22,12,balsam fir,Abies,balsamea,Todd
26,12.0,159,87,12,balsam fir,Abies,balsamea,Wadena
27,12.0,163,12,12,balsam fir,Abies,balsamea,Washington
28,16.0,163,1,16,Fraser fir,Abies,fraseri,Washington
29,68.0,001,8,68,eastern redcedar,Juniperus,virginiana,Aitkin
30,68.0,003,17,68,eastern redcedar,Juniperus,virginiana,Anoka
31,68.0,009,25,68,eastern redcedar,Juniperus,virginiana,Benton
32,68.0,013,84,68,eastern redcedar,Juniperus,virginiana,Blue Earth
33,68.0,015,8,68,eastern redcedar,Juniperus,virginiana,Brown
34,68.0,019,71,68,eastern redcedar,Juniperus,virginiana,Carver
35,68.0,025,63,68,eastern redcedar,Juniperus,virginiana,Chisago
36,68.0,037,26,68,eastern redcedar,Juniperus,virginiana,Dakota
37,68.0,039,4,68,eastern redcedar,Juniperus,virginiana,Dodge
38,68.0,045,129,68,eastern redcedar,Juniperus,virginiana,Fillmore
39,68.0,049,155,68,eastern redcedar,Juniperus,virginiana,Goodhue
40,68.0,053,29,68,eastern redcedar,Juniperus,virginiana,Hennepin
41,68.0,055,374,68,eastern redcedar,Juniperus,virginiana,Houston
42,68.0,059,35,68,eastern redcedar,Juniperus,virginiana,Isanti
43,68.0,067,135,68,eastern redcedar,Juniperus,virginiana,Kandiyohi
44,68.0,079,19,68,eastern redcedar,Juniperus,virginiana,Le Sueur
45,68.0,085,5,68,eastern redcedar,Juniperus,virginiana,McLeod
46,68.0,095,3,68,eastern redcedar,Juniperus,virginiana,Mille Lacs
47,68.0,097,161,68,eastern redcedar,Juniperus,virginiana,Morrison
48,68.0,109,89,68,eastern redcedar,Juniperus,virginiana,Olmsted
49,68.0,121,3,68,eastern redcedar,Juniperus,virginiana,Pope
50,68.0,127,230,68,eastern redcedar,Juniperus,virginiana,Redwood
51,68.0,131,7,68,eastern redcedar,Juniperus,virginiana,Rice
52,68.0,137,9,68,eastern redcedar,Juniperus,virginiana,Saint Louis
53,68.0,139,31,68,eastern redcedar,Juniperus,virginiana,Scott
54,68.0,141,46,68,eastern redcedar,Juniperus,virginiana,Sherburne
55,68.0,143,10,68,eastern redcedar,Juniperus,virginiana,Sibley
56,68.0,145,57,68,eastern redcedar,Juniperus,virginiana,Stearns
57,68.0,151,18,68,eastern redcedar,Juniperus,virginiana,Swift
58,68.0,153,2,68,eastern redcedar,Juniperus,virginiana,Todd
59,68.0,157,91,68,eastern redcedar,Juniperus,virginiana,Wabasha
60,68.0,163,87,68,eastern redcedar,Juniperus,virginiana,Washington
61,68.0,169,88,68,eastern redcedar,Juniperus,virginiana,Winona
62,68.0,171,64,68,eastern redcedar,Juniperus,virginiana,Wright
63,68.0,173,56,68,eastern redcedar,Juniperus,virginiana,Yellow Medicine
64,70.0,001,1,70,larch spp.,Larix,spp.,Aitkin
65,70.0,007,1,70,larch spp.,Larix,spp.,Beltrami
66,70.0,061,1,70,larch spp.,Larix,spp.,Itasca
67,70.0,075,1,70,larch spp.,Larix,spp.,Lake
68,71.0,001,6780,71,tamarack,Larix,laricina,Aitkin
69,71.0,003,89,71,tamarack,Larix,laricina,Anoka
70,71.0,005,1526,71,tamarack,Larix,laricina,Becker
71,71.0,007,6662,71,tamarack,Larix,laricina,Beltrami
72,71.0,017,1402,71,tamarack,Larix,laricina,Carlton
73,71.0,019,2,71,tamarack,Larix,laricina,Carver
74,71.0,021,3146,71,tamarack,Larix,laricina,Cass
75,71.0,025,110,71,tamarack,Larix,laricina,Chisago
76,71.0,029,832,71,tamarack,Larix,laricina,Clearwater
77,71.0,031,275,71,tamarack,Larix,laricina,Cook
78,71.0,035,743,71,tamarack,Larix,laricina,Crow Wing
79,71.0,041,79,71,tamarack,Larix,laricina,Douglas
80,71.0,057,534,71,tamarack,Larix,laricina,Hubbard
81,71.0,059,221,71,tamarack,Larix,laricina,Isanti
