rowid,SPCD,COUNTYCD,COUNT,FIA Code,Common Name,Genus,Species
1,12.0,1,3958,12,balsam fir,Abies,balsamea
2,12.0,3,1,12,balsam fir,Abies,balsamea
3,12.0,5,1218,12,balsam fir,Abies,balsamea
4,12.0,7,5571,12,balsam fir,Abies,balsamea
5,12.0,17,3414,12,balsam fir,Abies,balsamea
6,12.0,21,3631,12,balsam fir,Abies,balsamea
7,12.0,29,1526,12,balsam fir,Abies,balsamea
8,12.0,31,15579,12,balsam fir,Abies,balsamea
9,12.0,35,742,12,balsam fir,Abies,balsamea
10,12.0,57,1325,12,balsam fir,Abies,balsamea
11,12.0,61,17087,12,balsam fir,Abies,balsamea
12,12.0,65,43,12,balsam fir,Abies,balsamea
13,12.0,71,22408,12,balsam fir,Abies,balsamea
14,12.0,75,19671,12,balsam fir,Abies,balsamea
15,12.0,77,4010,12,balsam fir,Abies,balsamea
16,12.0,87,140,12,balsam fir,Abies,balsamea
17,12.0,89,260,12,balsam fir,Abies,balsamea
18,12.0,95,10,12,balsam fir,Abies,balsamea
19,12.0,97,2,12,balsam fir,Abies,balsamea
20,12.0,111,38,12,balsam fir,Abies,balsamea
21,12.0,115,1185,12,balsam fir,Abies,balsamea
22,12.0,119,11,12,balsam fir,Abies,balsamea
23,12.0,135,993,12,balsam fir,Abies,balsamea
24,12.0,137,44006,12,balsam fir,Abies,balsamea
25,12.0,153,22,12,balsam fir,Abies,balsamea
26,12.0,159,87,12,balsam fir,Abies,balsamea
27,12.0,163,12,12,balsam fir,Abies,balsamea
28,16.0,163,1,16,Fraser fir,Abies,fraseri
29,68.0,1,8,68,eastern redcedar,Juniperus,virginiana
30,68.0,3,17,68,eastern redcedar,Juniperus,virginiana
31,68.0,9,25,68,eastern redcedar,Juniperus,virginiana
32,68.0,13,84,68,eastern redcedar,Juniperus,virginiana
33,68.0,15,8,68,eastern redcedar,Juniperus,virginiana
34,68.0,19,71,68,eastern redcedar,Juniperus,virginiana
35,68.0,25,63,68,eastern redcedar,Juniperus,virginiana
36,68.0,37,26,68,eastern redcedar,Juniperus,virginiana
37,68.0,39,4,68,eastern redcedar,Juniperus,virginiana
38,68.0,45,129,68,eastern redcedar,Juniperus,virginiana
39,68.0,49,155,68,eastern redcedar,Juniperus,virginiana
40,68.0,53,29,68,eastern redcedar,Juniperus,virginiana
41,68.0,55,374,68,eastern redcedar,Juniperus,virginiana
42,68.0,59,35,68,eastern redcedar,Juniperus,virginiana
43,68.0,67,135,68,eastern redcedar,Juniperus,virginiana
44,68.0,79,19,68,eastern redcedar,Juniperus,virginiana
45,68.0,85,5,68,eastern redcedar,Juniperus,virginiana
46,68.0,95,3,68,eastern redcedar,Juniperus,virginiana
47,68.0,97,161,68,eastern redcedar,Juniperus,virginiana
48,68.0,109,89,68,eastern redcedar,Juniperus,virginiana
49,68.0,121,3,68,eastern redcedar,Juniperus,virginiana
50,68.0,127,230,68,eastern redcedar,Juniperus,virginiana
51,68.0,131,7,68,eastern redcedar,Juniperus,virginiana
52,68.0,137,9,68,eastern redcedar,Juniperus,virginiana
53,68.0,139,31,68,eastern redcedar,Juniperus,virginiana
54,68.0,141,46,68,eastern redcedar,Juniperus,virginiana
55,68.0,143,10,68,eastern redcedar,Juniperus,virginiana
56,68.0,145,57,68,eastern redcedar,Juniperus,virginiana
57,68.0,151,18,68,eastern redcedar,Juniperus,virginiana
58,68.0,153,2,68,eastern redcedar,Juniperus,virginiana
59,68.0,157,91,68,eastern redcedar,Juniperus,virginiana
60,68.0,163,87,68,eastern redcedar,Juniperus,virginiana
61,68.0,169,88,68,eastern redcedar,Juniperus,virginiana
62,68.0,171,64,68,eastern redcedar,Juniperus,virginiana
63,68.0,173,56,68,eastern redcedar,Juniperus,virginiana
64,70.0,1,1,70,larch spp.,Larix,spp.
65,70.0,7,1,70,larch spp.,Larix,spp.
66,70.0,61,1,70,larch spp.,Larix,spp.
67,70.0,75,1,70,larch spp.,Larix,spp.
68,71.0,1,6780,71,tamarack,Larix,laricina
69,71.0,3,89,71,tamarack,Larix,laricina
70,71.0,5,1526,71,tamarack,Larix,laricina
71,71.0,7,6662,71,tamarack,Larix,laricina
72,71.0,17,1402,71,tamarack,Larix,laricina
73,71.0,19,2,71,tamarack,Larix,laricina
74,71.0,21,3146,71,tamarack,Larix,laricina
75,71.0,25,110,71,tamarack,Larix,laricina
76,71.0,29,832,71,tamarack,Larix,laricina
77,71.0,31,275,71,tamarack,Larix,laricina
78,71.0,35,743,71,tamarack,Larix,laricina
79,71.0,41,79,71,tamarack,Larix,laricina
80,71.0,57,534,71,tamarack,Larix,laricina
81,71.0,59,221,71,tamarack,Larix,laricina
82,71.0,61,5901,71,tamarack,Larix,laricina
83,71.0,65,123,71,tamarack,Larix,laricina
84,71.0,71,14150,71,tamarack,Larix,laricina
85,71.0,75,1564,71,tamarack,Larix,laricina
86,71.0,77,7863,71,tamarack,Larix,laricina
87,71.0,87,104,71,tamarack,Larix,laricina
88,71.0,89,158,71,tamarack,Larix,laricina
89,71.0,95,264,71,tamarack,Larix,laricina
90,71.0,97,487,71,tamarack,Larix,laricina
91,71.0,111,526,71,tamarack,Larix,laricina
92,71.0,115,917,71,tamarack,Larix,laricina
93,71.0,119,120,71,tamarack,Larix,laricina
94,71.0,135,1657,71,tamarack,Larix,laricina
95,71.0,137,11873,71,tamarack,Larix,laricina
96,71.0,145,137,71,tamarack,Larix,laricina
97,71.0,153,215,71,tamarack,Larix,laricina
98,71.0,159,158,71,tamarack,Larix,laricina
