rowid,SPCD,COUNTYCD,COUNT,FIA Code,Common Name,Genus,Species
1,12.0,001,3958,12,balsam fir,Abies,balsamea
2,12.0,003,1,12,balsam fir,Abies,balsamea
3,12.0,005,1218,12,balsam fir,Abies,balsamea
4,12.0,007,5571,12,balsam fir,Abies,balsamea
5,12.0,017,3414,12,balsam fir,Abies,balsamea
6,12.0,021,3631,12,balsam fir,Abies,balsamea
7,12.0,029,1526,12,balsam fir,Abies,balsamea
8,12.0,031,15579,12,balsam fir,Abies,balsamea
9,12.0,035,742,12,balsam fir,Abies,balsamea
10,12.0,057,1325,12,balsam fir,Abies,balsamea
11,12.0,061,17087,12,balsam fir,Abies,balsamea
12,12.0,065,43,12,balsam fir,Abies,balsamea
13,12.0,071,22408,12,balsam fir,Abies,balsamea
14,12.0,075,19671,12,balsam fir,Abies,balsamea
15,12.0,077,4010,12,balsam fir,Abies,balsamea
16,12.0,087,140,12,balsam fir,Abies,balsamea
17,12.0,089,260,12,balsam fir,Abies,balsamea
18,12.0,095,10,12,balsam fir,Abies,balsamea
19,12.0,097,2,12,balsam fir,Abies,balsamea
20,12.0,111,38,12,balsam fir,Abies,balsamea
21,12.0,115,1185,12,balsam fir,Abies,balsamea
22,12.0,119,11,12,balsam fir,Abies,balsamea
23,12.0,135,993,12,balsam fir,Abies,balsamea
24,12.0,137,44006,12,balsam fir,Abies,balsamea
25,12.0,153,22,12,balsam fir,Abies,balsamea
26,12.0,159,87,12,balsam fir,Abies,balsamea
27,12.0,163,12,12,balsam fir,Abies,balsamea
28,16.0,163,1,16,Fraser fir,Abies,fraseri
29,68.0,001,8,68,eastern redcedar,Juniperus,virginiana
30,68.0,003,17,68,eastern redcedar,Juniperus,virginiana
31,68.0,009,25,68,eastern redcedar,Juniperus,virginiana
32,68.0,013,84,68,eastern redcedar,Juniperus,virginiana
33,68.0,015,8,68,eastern redcedar,Juniperus,virginiana
34,68.0,019,71,68,eastern redcedar,Juniperus,virginiana
35,68.0,025,63,68,eastern redcedar,Juniperus,virginiana
36,68.0,037,26,68,eastern redcedar,Juniperus,virginiana
37,68.0,039,4,68,eastern redcedar,Juniperus,virginiana
38,68.0,045,129,68,eastern redcedar,Juniperus,virginiana
39,68.0,049,155,68,eastern redcedar,Juniperus,virginiana
40,68.0,053,29,68,eastern redcedar,Juniperus,virginiana
41,68.0,055,374,68,eastern redcedar,Juniperus,virginiana
42,68.0,059,35,68,eastern redcedar,Juniperus,virginiana
43,68.0,067,135,68,eastern redcedar,Juniperus,virginiana
44,68.0,079,19,68,eastern redcedar,Juniperus,virginiana
45,68.0,085,5,68,eastern redcedar,Juniperus,virginiana
46,68.0,095,3,68,eastern redcedar,Juniperus,virginiana
